Winner1,Winner2,Winner3,Winner4,Winner5,Loser1,Loser2,Loser3,Loser4,Loser5,K
RAI,---,---,---,---,AVG,---,---,---,---,0.5
QUA,---,---,---,---,AVG,---,---,---,---,0.5
OSA,---,---,---,---,AVG,---,---,---,---,0.5
DVD,---,---,---,---,AVG,---,---,---,---,0.5
AVG,---,---,---,---,QUA,---,---,---,---,0.5
AVG,---,---,---,---,OSA,---,---,---,---,0.5
AVG,---,---,---,---,DVD,---,---,---,---,0.5
DLK,---,---,---,---,AVG,---,---,---,---,0.5
LEX,---,---,---,---,AVG,---,---,---,---,0.5
AYN,---,---,---,---,AVG,---,---,---,---,0.5
DEK,---,---,---,---,AVG,---,---,---,---,0.5
AVG,---,---,---,---,RAI,---,---,---,---,0.5
AVG,---,---,---,---,DLK,---,---,---,---,0.5
AVG,---,---,---,---,LEX,---,---,---,---,0.5
AVG,---,---,---,---,AYN,---,---,---,---,0.5
AVG,---,---,---,---,DEK,---,---,---,---,0.5
MRF,---,---,---,---,AVG,---,---,---,---,0.5
CHP,---,---,---,---,AVG,---,---,---,---,0.5
FLP,---,---,---,---,AVG,---,---,---,---,0.5
SZP,---,---,---,---,AVG,---,---,---,---,0.5
VOI,---,---,---,---,AVG,---,---,---,---,0.5
AVG,---,---,---,---,MRF,---,---,---,---,0.5
AVG,---,---,---,---,CHP,---,---,---,---,0.5
AVG,---,---,---,---,FLP,---,---,---,---,0.5
AVG,---,---,---,---,SZP,---,---,---,---,0.5
AVG,---,---,---,---,VOI,---,---,---,---,0.5
TNR,---,---,---,---,AVG,---,---,---,---,0.5
JP,---,---,---,---,AVG,---,---,---,---,0.5
MAD,---,---,---,---,AVG,---,---,---,---,0.5
MAR,---,---,---,---,AVG,---,---,---,---,0.5
EMB,---,---,---,---,AVG,---,---,---,---,0.5
DAM,---,---,---,---,AVG,---,---,---,---,0.5
IEY,---,---,---,---,AVG,---,---,---,---,0.5
SH,---,---,---,---,AVG,---,---,---,---,0.5
AVG,---,---,---,---,TNR,---,---,---,---,0.5
AVG,---,---,---,---,JP,---,---,---,---,0.5
AVG,---,---,---,---,MAD,---,---,---,---,0.5
AVG,---,---,---,---,MAR,---,---,---,---,0.5
AVG,---,---,---,---,EMB,---,---,---,---,0.5
AVG,---,---,---,---,DAM,---,---,---,---,0.5
AVG,---,---,---,---,IEY,---,---,---,---,0.5
AVG,---,---,---,---,SH,---,---,---,---,0.5
CG,---,---,---,---,AVG,---,---,---,---,0.5
AVG,---,---,---,---,CG,---,---,---,---,0.5
KRZ,---,---,---,---,AVG,---,---,---,---,0.5
AVG,---,---,---,---,KRZ,---,---,---,---,0.5
AVG,---,---,---,---,MUR,---,---,---,---,0.5
AVG,---,---,---,---,BOL,---,---,---,---,0.5
AVG,---,---,---,---,CHE,---,---,---,---,0.5
AVG,---,---,---,---,KRB,---,---,---,---,0.5
AVG,---,---,---,---,KEN,---,---,---,---,0.5
AVG,---,---,---,---,VB,---,---,---,---,0.5
AVG,---,---,---,---,LEO,---,---,---,---,0.5
MUR,---,---,---,---,AVG,---,---,---,---,0.5
BOL,---,---,---,---,AVG,---,---,---,---,0.5
CHE,---,---,---,---,AVG,---,---,---,---,0.5
KRB,---,---,---,---,AVG,---,---,---,---,0.5
KEN,---,---,---,---,AVG,---,---,---,---,0.5
VB,---,---,---,---,AVG,---,---,---,---,0.5
